GeneralStyle,Styles,OGRangeLow,OGRangeHigh,FGRangeLow,FGRangeHigh,BitterLow,BitterHigh,SRMRangeLow,SRMRangeHigh
Light Lager,Lite American Lager,1.030,1.040,1.998,1.008,8.00,12,2.00,3.00
Light Lager,Standard American Lager,1.040,1.050,1.004,1.010,8.00,15,2.00,4.00
Light Lager,Premium American Lager,1.046,1.056,1.008,1.012,15,25,2.00,6.00
Light Lager,Munich Helles,1.045,1.051,1.008,1.012,16,22,3.00,5.00
Light Lager,Dortmunder Export,1.048,1.056,1.010,1.015,23,30,4.00,6.00
Pilsener,German Pilsner (Pils),1.044,1.050,1.008,1.013,25,45,2.00,6.00
Pilsener,Bohemian Pilsener,1.044,1.056,1.013,1.017,35,45,3.50,6.00
Pilsener,Classic American Pilsner,1.044,1.060,1.010,1.015,25,40,3.00,6.00
European Amber Lager,Vienna Lager,1.046,1.052,1.010,1.014,18,30,10,16
European Amber Lager,Oktoberfest/Marzen,1.050,1.056,1.012,1.016,20,28,7.00,14
Dark Lager,Dark American Lager,1.044,1.056,1.008,1.012,8.00,20,14,22
Dark Lager,Munich Dunkel,1.048,1.056,1.010,1.016,18,28,14,28
Dark Lager,Schwarzbier (Black Beer),1.046,1.052,1.010,1.016,22,32,17,30.00
Bock,Maibock/Helles Bock,1.064,1.072,1.011,1.018,23,35.00,6.00,11
Bock,Traditional Bock,1.064,1.072,1.013,1.019,20,27,14,22
Bock,Doppelbock,1.072,1.096,1.016,1.024,16,26.00,6.00,25
Bock,Eisbock,1.078,1.120,1.020,1.035,23,35.00,18,30.00
Light Hybrid Beer,Cream Ale,1.042,1.055,1.006,1.012,15,20.00,2.50,5.00
Light Hybrid Beer,Blonde Ale,1.038,1.054,1.008,1.013,15,28,3.00,6.00
Light Hybrid Beer,Kolsch,1.044,1.050,1.007,1.011,20,30,3.50,5.00
Light Hybrid Beer,American Wheat or Rye,1.040,1.055,1.008,1.013,15,30,3.00,6.00
Amber Hybrid Beer,Northern German Altbier,1.046,1.054,1.010,1.015,25,40,13,19
Amber Hybrid Beer,California Common Beer,1.048,1.054,1.011,1.014,30,45,10,14
Amber Hybrid Beer,Dusseldorf Altbier,1.046,1.054,1.010,1.015,35,50,13,17
English Pale Ale,Standard/Ordinary Bitter,1.032,1.040,1.007,1.011,25,35,4.00,14
English Pale Ale,Special/Best/Premium Bitter,1.040,1.048,1.008,1.012,25,40,5.00,16
English Pale Ale,Extra Special/Strong Bitter,1.048,1.060,1.010,1.016,30,50.00,6.00,18
Scottish and Irish Ale,Scottish Light 60/-,1.030,1.035,1.010,1.013,10,20,9.00,17
Scottish and Irish Ale,Scottish Heavy 70/-,1.035,1.040,1.010,1.015,10,25,9.00,17
Scottish and Irish Ale,Scottish Export 80/-,1.040,1.054,1.010,1.016,15,30,9.00,17
Scottish and Irish Ale,Irish Red Ale,1.044,1.060,1.010,1.014,17,28,9.00,18
Scottish and Irish Ale,Strong Scotch Ale,1.070,1.030,1.018,1.030,17,35,14,25
American Ale,American Pale Ale,1.045,1.060,1.010,1.015,30,45.00,5.00,14
American Ale,American Amber Ale,1.045,1.060,1.010,1.015,25,40.00,10,17
American Ale,American Brown Ale,1.045,1.060,1.010,1.016,20,40.00,18,35
English Brown Ale,Mild,1.030,1.038,1.008,1.013,10,25,12,25
English Brown Ale,Southern English Brown,1.035,1.042,1.011,1.014,12,20,19,35
English Brown Ale,Northern English Brown,1.040,1.052,1.008,1.013,20,30,12,22
Porter,Brown Porter,1.040,1.052,1.008,1.014,18,35,20,30
Porter,Robust Porter,1.048,1.065,1.012,1.016,25,50.00,22,35.00
Porter,Baltic Porter,1.060,1.090,1.016,1.024,20,40,17,30
Stout,Dry Stout,1.036,1.050,1.007,1.011,30,45,25,40.00
Stout,Sweet Stout,1.042,1.056,1.010,1.023,25,40,30,40.00
Stout,Oatmeal Stout,1.048,1.065,1.010,1.018,25,40,22,40.00
Stout,Foreign Extra Stout,1.056,1.075,1.010,1.018,30,70,30,40.00
Stout,American Stout,1.050,1.075,1.010,1.022,35,75,30,40.00
Stout,Russian Imperial Stout,1.075,1.095,1.018,1.030,50,90.00,30,40.00
Indian Pale Ale (IPA),English IPA,1.050,1.075,1.010,1.018,40,60,8.00,14
Indian Pale Ale (IPA),American IPA,1.056,1.075,1.010,1.018,40,60.00,6.00,15
Indian Pale Ale (IPA),Imperial IPA,1.075,1.090,1.012,1.020,60,100.00,8.00,15
German Wheat and Rye Beer,Weizen/Weissbier,1.044,1.052,1.010,1.014,28,15,2.00,8.00
German Wheat and Rye Beer,Dunkelweizen,1.044,1.056,1.010,1.014,10,18,14,23
German Wheat and Rye Beer,Weizenbock,1.064,1.080,1.015,1.022,15,30,12,25
German Wheat and Rye Beer,Roggenbier (German Rye),1.046,1.056,1.010,1.014,10,20,14,19
Belgian and French Ale,Witbier,1.044,1.052,1.008,1.012,10,20,2.00,4.00
Belgian and French Ale,Belgian Pale Ale,1.048,1.054,1.010,1.014,20,30,8.00,14
Belgian and French Ale,Saison,1.048,1.080,1.010,1.016,25,45,5.00,12
Belgian and French Ale,Biere de Garde,1.060,1.080,1.012,1.018,20,30,6.00,19
Sour Ale,Berliner Weisse,1.028,1.032,1.004,1.006,3.00,-8,2.00,3.00
Sour Ale,Flanders Red Ale,1.046,1.054,1.008,1.016,15,25,10,16
Sour Ale,Flanders Brown/Oud Bruin,1.043,1.077,1.012,1.016,15,25,15,20
Sour Ale,Straight (Unblended) Lambic,1.040,1.054,1.000,1.010,0.00,10,3.00,7.00
Sour Ale,Gueuze,1.040,1.060,1.000,1.006,0.00,10,3.00,7.00
Sour Ale,Fruit Lambic,1.040,1.060,1.000,1.010,0.00,10,3.00,7.00
Belgian Strong Ale,Belgian Blonde Ale,1.062,1.075,1.008,1.016,20,30,4.00,6.00
Belgian Strong Ale,Belgian Dubbel,1.062,1.075,1.010,1.018,15,25,10,14
Belgian Strong Ale,Belgian Tripel,1.075,1.085,1.010,1.016,25,38,4.50,6.00
Belgian Strong Ale,Belgian Golden Strong Ale,1.070,1.095,1.010,1.016,25,35,4.00,6.00
Belgian Strong Ale,Belgian Dark Strong Ale,1.075,1.110,1.010,1.024,15,25.00,15,20
Strong Ale,Old Ale,1.060,1.090,1.015,1.022,30,60.00,10,22.00
Strong Ale,English Barleywine,1.080,1.120,1.018,1.030,35,70,8.00,22
Strong Ale,American Barleywine,1.080,1.120,1.016,1.030,50,120.00,10,19
Smoke-Flavored/Wood-Aged Beer,Classic Rauchbier,1.050,1.056,1.012,1.016,20,30,14,22.00
